gateway,gateway_document_number,gateway_name
WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA | 18490448000104,18490448000104,WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA
HKPPAY PAGAMENTOS E COBRANCAS LTDA | 3d8358eb-b0cc-45a9-9808-3f362efb6a53,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA | ef04c4ff-ac04-47b7-b143-d7a2977e2e10,41433374000188,LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA
PINHENHOM PAGAMENTOS | 44341088000180,44341088000180,PINHENHOM PAGAMENTOS
H2 LICENSED LTDA | d63cb92e-4ded-4ca2-be85-a522f66eabe1,56303755000110,H2 LICENSED LTDA
PEACH BLOSSOM PROCESSADORA DE PAGAMENTOS LTDA | 56934811000114,56934811000114,PEACH BLOSSOM PROCESSADORA DE PAGAMENTOS LTDA
PAY RETAILERS BR SERVICOS DE PAGAMENTOS | 32364718000153,32364718000153,PAY RETAILERS BR SERVICOS DE PAGAMENTOS
a.starpay3 | 56349116000195,56349116000195,a.starpay3
BLISS PAGAMENTOS LTDA | 821a0bd1-5189-433f-b76a-e436d159d761,31172740000139,BLISS PAGAMENTOS LTDA
ALL BETS | 5475b56f-7844-489e-a20d-f4c5710bf2ae,93138451000170,ALL BETS
PAGSMILE NEGOCIOS LTDA | 23010551000131,23010551000131,PAGSMILE NEGOCIOS LTDA
WE PAY OUT INSTITUICAO DE PAGA | 32708748000130,32708748000130,WE PAY OUT INSTITUICAO DE PAGA
Okto Tech Ltda. | 67bf2a47-15f8-4666-84fb-e481604e9d1a,51583189000123,Okto Tech Ltda.
Rei do Pitaco | 34935286000119,34935286000119,Rei do Pitaco
BPX BETS SPORTS GROUP LTDA | 34cf1dea-7c0f-4439-8719-d07df35d7c08,55590815000160,BPX BETS SPORTS GROUP LTDA
LBBR APOSTAS DE QUOTA FIXA LIMITADA | cd2621b7-ef25-4edb-b144-24fc89b07ef9,56441713000145,LBBR APOSTAS DE QUOTA FIXA LIMITADA
MMABET -  DECOLA OPERATIONS N.V. | 22443203000276,22443203000276,MMABET -  DECOLA OPERATIONS N.V.
B3T4 INTERNATIONAL GROUP LTDA | 29672aad-579b-4149-b73e-30750eae7123,56706644000154,B3T4 INTERNATIONAL GROUP LTDA
MAX PAGO LTDA | 57252426000150,57252426000150,MAX PAGO LTDA
okto pagamentos s.a. | 8f0a86ad-5409-40a5-929d-f2300619964a,44783669000172,okto pagamentos s.a.
OneKey Payments IP SA | 35210410000141,35210410000141,OneKey Payments IP SA
SKILL ON NET LTDA | fda727d0-f7f7-4ac1-b79d-8825c13be2b3,55927219000122,SKILL ON NET LTDA
LCT NACIONAL CREDIT | 2f6be132-09e1-4b74-8440-a9d1225fcfda,31023573000164,LCT NACIONAL CREDIT
B3t4 International Group Ltda. | 341a2a05-6d93-43b3-8f31-dfd9c468d38b,56706644000154,B3t4 International Group Ltda.
BELL VENTURES DIGITAL LTDA | b0d1ad16-4977-44cc-a2b2-07437f22eaf3,56638458000125,BELL VENTURES DIGITAL LTDA
LOGAME DO BRASIL LTDA | 09863049-3ae5-49fa-ae15-0ece50ddd976,56349116000195,LOGAME DO BRASIL LTDA
FUTURAS APOSTAS LTDA | 55399607000188,55399607000188,FUTURAS APOSTAS LTDA
F12 Brasil Jogos Eletrônicos LTDA | 665fe435-bece-43ae-aee5-c63223fecda2,51897834000182,F12 Brasil Jogos Eletrônicos LTDA
PIXBET - DECOLA OPERATIONS N.V. | 22443203000195,22443203000195,PIXBET - DECOLA OPERATIONS N.V.
PAYFREE SOLUÇÕES EM SISTEMAS E PAGAMENTOS LTDA | 05e16040-dff0-4cf5-b9cb-38ef5745b5ff,44478318000158,PAYFREE SOLUÇÕES EM SISTEMAS E PAGAMENTOS LTDA
LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA | 2845f4c6-f52c-47bc-a5be-045a67e1c901,41433374000188,LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA
Brapay Negócio e Participação LTDA | 861e2e50-0cfc-4b09-a831-8e195a934c97,49138107000190,Brapay Negócio e Participação LTDA
B3t4 International Group Ltda. | 56706644000154,56706644000154,B3t4 International Group Ltda.
Ycfshop Tecnologia em Ecommerce Ltda | 1c22bf05-a91a-430f-a1f3-fd01b7c5fd51,46558143000114,Ycfshop Tecnologia em Ecommerce Ltda
POWERFULL TECNOLOGIA LTDA | a9b9707b-6dfe-40c3-b670-94f1d7c31730,49440778000100,POWERFULL TECNOLOGIA LTDA
PAGFAST COBRANCA E SERVICOS EM TECNOLOGIA S A | 75f72812-3914-4e79-9f3b-aa72e88fc10c,46261360000148,PAGFAST COBRANCA E SERVICOS EM TECNOLOGIA S A
PIXCRED SOCIEDADE DE CREDITO DIRETO S.A. | 45975d76-f38b-4284-a414-6e1ab8bb8ce0,42510062000193,PIXCRED SOCIEDADE DE CREDITO DIRETO S.A.
LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA | dd7ae2ec-ca3e-42f4-b957-42301f9e6b71,41433374000188,LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA
SECURELINK CONSULTORIA FINANCEIRA LTDA | 8eb70a96-7585-477b-a601-4f0909d358d5,53733396000142,SECURELINK CONSULTORIA FINANCEIRA LTDA
P Pagamentos LTDA | ad4e7a58-6f60-437b-96e0-177c98eb792f,29639420000102,P Pagamentos LTDA
Golden cat processamento de pagamento ltda | 8fe6cca6-578c-4498-98ea-c16ab201a051,52348833000141,Golden cat processamento de pagamento ltda
a.paygame | 56349116000195,56349116000195,a.paygame
